tag_id,book-movie,tag_name,,,,,,,,,,,,
745,yes movie,2014-movies,,,,,,,,,,,,
819,yes movie,2016-movies,,,,,,,,,,,,
875,yes movie,2017-movies,,,,,,,,,,,,
1583,yes movie,adapt-to-movie-tv-series,,,,,,,,,,,,
1585,yes movie,adaptation-tv-movie,,,,,,,,,,,,
1590,yes movie,adapted-to-movie-drama,,,,,,,,,,,,
2151,yes movie,already-a-movie,,,,,,,,,,,,
2163,yes movie,also-a-movie,,,,,,,,,,,,
2164,yes movie,also-r-tv-show-movie-both,,,,,,,,,,,,
4132,yes movie,became-movie,,,,,,,,,,,,
4181,yes movie,before-the-movie,,,,,,,,,,,,
4938,yes movie,book-and-movie,,,,,,,,,,,,
4946,yes movie,book-came-before-the-movie,,,,,,,,,,,,
4993,yes movie,book-into-movie,,,,,,,,,,,,
5000,yes movie,book-movie,,,,,,,,,,,,
5001,yes movie,book-movie-guide,,,,,,,,,,,,
5036,yes movie,book-to-movie,,,,,,,,,,,,
5044,yes movie,book2movie,,,,,,,,,,,,
5124,yes movie,books-before-movies,,,,,,,,,,,,
5288,yes movie,books-into-movies,,,,,,,,,,,,
5289,yes movie,books-into-movies-or-tv-to-read,,,,,,,,,,,,
5295,yes movie,books-made-into-movies,,,,,,,,,,,,
5296,yes movie,books-movies,,,,,,,,,,,,
5376,yes movie,books-that-are-movies,,,,,,,,,,,,
5377,yes movie,books-that-became-movies,,,,,,,,,,,,
5403,yes movie,books-to-movie-tv,,,,,,,,,,,,
5404,yes movie,books-to-movies,,,,,,,,,,,,
5424,yes movie,books-turned-into-movies,,,,,,,,,,,,
5433,yes movie,books-with-movies,,,,,,,,,,,,
5439,yes movie,books2movies,,,,,,,,,,,,
11920,yes movie,filmed-as-movie-tv,,,,,,,,,,,11826,fiction-series
13377,yes movie,good-movies,,,,,,,,,,,,
14094,yes movie,have-seen-the-movie-too,,,,,,,,,,,,
15127,yes movie,i-also-saw-the-movie,,,,,,,,,,,,
15167,yes movie,i-only-watched-the-movie,,,,,,,,,,,,
16783,yes movie,just-seen-as-a-movie,,,,,,,,,,,,
18616,yes movie,lotr-movies,,,,,,,,,,,,
18848,yes movie,made-into-a-movie,,,,,,,,,,,,
18849,yes movie,made-into-movie,,,,,,,,,,,,
18850,yes movie,made-into-movies,,,,,,,,,,,,
18967,yes movie,making-movies-tv,,,,,,,,,,,,
20547,yes movie,movie,,,,,,,,,,,,
20548,yes movie,movie-adaptations,,,,,,,,,,,,
20549,yes movie,movie-and-tv-related,,,,,,,,,,,,
20550,yes movie,movie-based,,,,,,,,,,,,
20551,yes movie,movie-books,,,,,,,,,,,,
20552,yes movie,movie-books-to-read,,,,,,,,,,,,
20553,yes movie,movie-companion,,,,,,,,,,,,
20554,yes movie,movie-companions,,,,,,,,,,,,
20555,yes movie,movie-extras,,,,,,,,,,,,
20556,yes movie,movie-guides,,,,,,,,,,,,
20557,yes movie,movie-making,,,,,,,,,,,,
20558,yes movie,movie-novelization,,,,,,,,,,,,
20559,yes movie,movie-of,,,,,,,,,,,,
20560,yes movie,movie-related,,,,,,,,,,,,
20561,yes movie,movie-series-musical-etc-guides,,,,,,,,,,,,
20562,yes movie,movie-star,,,,,,,,,,,,
20563,yes movie,movie-stars,,,,,,,,,,,,
20564,yes movie,movie-tie-in,,,,,,,,,,,,
20565,yes movie,movie-tie-ins,,,,,,,,,,,,
20566,yes movie,movie-tv,,,,,,,,,,,,
20567,yes movie,movie-tv-show,,,,,,,,,,,,
20568,yes movie,movie-tv-tie-in,,,,,,,,,,,,
20569,yes movie,moviebook,,,,,,,,,,,,
20570,yes movie,movies,,,,,,,,,,,,
20571,yes movie,movies-and-tv,,,,,,,,,,,,
20572,yes movie,movies-film,,,,,,,,,,,,
20573,yes movie,movies-i-ve-seen,,,,,,,,,,,,
20574,yes movie,movies-tv,,,,,,,,,,,,
20575,yes movie,movies-tv-series,,,,,,,,,,,,
20576,yes movie,movies-watched,,,,,,,,,,,,
20854,yes movie,my-lotr-movies,,,,,,,,,,,,
22422,yes movie,only-saw-the-movie,,,,,,,,,,,,
22423,yes movie,only-the-movie,,,,,,,,,,,,
22425,yes movie,only-watched-the-movie,,,,,,,,,,,,
24891,yes movie,random-movie-companions,,,,,,,,,,,,
26655,yes movie,saw-as-a-movies,,,,,,,,,,,,
26656,yes movie,saw-movie,,,,,,,,,,,,
26657,yes movie,saw-the-movie,,,,,,,,,,,,
27058,yes movie,seen-movie,,,,,,,,,,,,
27062,yes movie,seen-the-movie,,,,,,,,,,,,
27702,yes movie,should-be-movies,,,,,,,,,,,,
29972,yes movie,the-movie-was-better,,,,,,,,,,,,
29990,yes movie,the-ones-that-become-movies,,,,,,,,,,,,
30744,yes movie,to-read-movie,,,,,,,,,,,,
30806,yes movie,to-read-seen-the-movie,,,,,,,,,,,,
31342,yes movie,tv-and-movies,,,,,,,,,,,,
31343,yes movie,tv-movie,,,,,,,,,,,,
31344,yes movie,tv-movies,,,,,,,,,,,,
31349,yes movie,tv-shows-movies,,,,,,,,,,,,
31351,yes movie,tvandmovies,,,,,,,,,,,,
32220,yes movie,watched-as-a-movie,,,,,,,,,,,,
32221,yes movie,watched-its-movie,,,,,,,,,,,,
32222,yes movie,watched-movie,,,,,,,,,,,,
32223,yes movie,watched-movie-based,,,,,,,,,,,,
32224,yes movie,watched-the-movie,,,,,,,,,,,,
32225,yes movie,watched-the-movie-too,,,,,,,,,,,,
32541,yes movie,wimpy-kid-movie-diary,,,,,,,,,,,,
32947,yes movie,x-movie,,,,,,,,,,,,
